,JNK inhibitor,LXR agonist,IGF-1 inhibitor,inosine monophosphate dehydrogenase inhibitor,kinesin inhibitor,histone lysine methyltransferase inhibitor,ubiquitin specific protease inhibitor,glycogen synthase kinase inhibitor,mTOR inhibitor,CHK inhibitor,Aurora kinase inhibitor,RAF inhibitor,antihistamine,acetylcholine receptor antagonist,HMGCR inhibitor,p21 activated kinase inhibitor,protein tyrosine kinase inhibitor,MAP kinase inhibitor,androgen receptor modulator,BCL inhibitor,p38 MAPK inhibitor,CDK inhibitor,JAK inhibitor,smoothened receptor agonist,tricyclic antidepressant,phosphodiesterase inhibitor,phospholipase inhibitor,FGFR inhibitor,bromodomain inhibitor,hepatocyte growth factor receptor inhibitor,HDAC inhibitor,tumor necrosis factor production inhibitor,protein arginine N-methyltransferase inhibitor,DNA inhibitor,beta-catenin inhibitor,phosphoinositide dependent kinase inhibitor,CDC inhibitor,pyruvate dehydrogenase kinase inhibitor,histone lysine demethylase inhibitor,PARP inhibitor,MEK inhibitor,Bcr-Abl kinase inhibitor,hypoxia inducible factor inhibitor,MDM inhibitor,DYRK inhibitor,EGFR inhibitor
0,8.0,8.0,7.95,7.825,5.079578883557757,4.953135632483459,4.764851152582245,4.480023448773448,1.4509157944217428,1.281610861998793,1.2221009414397654,0.7602803164172375,0.7505718528285202,0.6774201299057325,0.6165795338222992,0.5344038059427465,0.45827106600925643,0.38649008829962583,0.35638397082645956,0.34505822090118704,0.33021496592607363,0.3195924978743743,0.2756364141074582,0.26263458157301744,0.25846901857688287,0.2511647206286981,0.24857123592236727,0.2469762389882188,0.22234964963696602,0.14627979831257304,0.13514055828827928,0.13413900842804083,0.1327941929145986,0.10599673470731172,0.1009087920121743,0.09772717160951268,0.08409945021944747,0.08295307281212258,0.08153945353078963,0.07544548235047206,0.07413906774825113,0.07233678020029254,0.06556390352373631,0.06117094391370776,0.06002657353810305,0.049671181582121124
0,16.0,15.8875,15.497023809523808,14.5140814659197,9.091786440337454,5.127032105959909,5.971917521641562,11.827047258297258,3.6295161746131095,2.510155728331352,2.7115066534530325,3.2346889486051813,0.9252405419295213,0.8813232826301012,0.8668647782012027,1.6138471133796193,0.6553108873866283,0.6508283554807657,1.282627144647989,0.5159357261400418,1.2340697522558304,1.2564194375391633,1.552439892909461,0.5014849229461452,0.4282400972647642,0.3850324884860981,0.3950460005835693,0.42942226592814586,0.4818989205448711,0.2387851553500328,0.2611104025020287,0.3160406144447844,0.2438633463572329,0.22786395493155995,0.19687170682978983,0.20314620588843138,0.17787014714235896,0.1603895314793844,0.20202331747230054,0.2259205064835361,0.20547799800657596,0.30611051329714567,0.13283657007058686,0.19890233352934525,0.1501942341096471,0.12570596881223575
0,24.0,23.8875,23.49702380952381,22.4640814659197,10.855857512251633,10.338425145861013,10.069105436773023,15.57285477633221,6.254427757167182,3.0851074052998744,4.020723645960544,8.007853923772036,1.8937437807292066,2.1200412318763253,1.05768373351476,1.7065272914254686,0.9964204989720626,0.7731950503922618,2.6776119872673565,0.8325337639663647,1.4556420521406999,1.6836967957235804,2.028565395075943,0.6955048605928895,0.6123414586252468,0.45504911844668083,0.589151757059087,0.5973619442197571,0.6747121293786289,0.34170576695432947,0.418456787324839,0.57613724940435,0.3371842465034764,0.3407069301183466,0.43130634376989957,0.2990016457433965,0.2622583108725902,0.24646617075952768,0.26894758558077525,0.3771957442937291,0.3155579094240254,0.3896408956409013,0.2005728410967489,0.489298011402874,0.2148381020773722,0.19955253375737161
0,32.0,31.8875,31.49702380952381,30.4640814659197,15.788284059016414,16.008131222736207,12.6839009985021,19.547483718818295,8.554869711062853,5.031876697024661,5.28492363724192,9.370127907980006,2.5727478787009592,3.8147789368971665,1.3439855743182085,1.829846566291641,1.4579057112826395,0.9719031293954703,3.167702533390376,1.0785685287396822,1.7397310949570517,2.0527733611654893,2.7931428691029536,0.8879288331593472,0.7795311963153054,0.5551899776526757,1.0226330797512964,0.841502991927615,0.87385362375389,0.4956727295535913,0.5328297383120816,0.7546655469657922,0.4653859559781683,0.47367567786415005,0.5268801759826952,0.4020845988610797,0.35683238079682555,0.31814890118623923,0.3470127457848851,0.5311190191724202,0.37062401402330286,0.45589203556285784,0.26301128696725135,0.549100372426798,0.2642132342417586,0.24437601589388017
0,39.04995894909688,37.2576534935979,36.94508843572218,36.17535459638401,19.42450134426674,17.57233774073422,13.77604558844217,23.473281952609835,9.729126370842796,5.892981958992343,5.956468965830184,12.707809966295855,2.7662623410479763,4.203109060851347,1.7155865907851695,2.3587440500243493,1.6861951416206047,1.2391020046109358,3.504507892026413,1.1677775682258946,2.1258549894319008,3.0368953350179115,3.107067149738262,1.0904866427525794,1.0490686823934945,0.6345821100733213,1.2311288064356154,0.9961418756722262,1.0513856779751738,0.669726296848042,0.6682307545833692,0.949011293742842,0.7746235614105893,0.5678554419963202,0.69796975123324,0.4763572310766791,0.48849243830693095,0.3867388794510111,0.4409729106808104,0.6092107916333548,0.5182592482630445,0.5272725176320797,0.34220018848561295,0.8280885163502069,0.3463135282588845,0.3244097540930757
0,47.04995894909688,45.2576534935979,43.20946988760363,44.17535459638401,20.44520847827519,21.16435085293088,18.200329053617576,27.170195389422428,12.248129893844363,6.350836686799795,7.080117659875826,14.28302584504503,3.7158765549929775,5.308119603563956,2.021074888521734,2.4947597147821754,1.9647806481275483,1.4855145057408372,3.9527326145548254,1.4041759475068136,2.437048628708318,3.193722705962261,4.026643013833256,1.3138366695044827,1.3150262326861333,0.7077412964654278,1.5938261072665425,1.181642345831158,1.3472528510625021,0.783207414560814,0.8219161861575409,1.0910288405368627,0.8816767249308232,0.641519246548281,0.9155690534464738,0.569771195411961,0.5804632921024966,0.46816452474225767,0.5080279699289224,0.7262673015092699,0.5905896253095237,0.600333782056994,0.40476143275817306,0.9293705477737313,0.3983104703247445,0.3779686264349729
0,55.04995894909688,53.2576534935979,49.99140398008121,52.02535459638402,22.11076440697374,23.7525399963374,21.341104243686242,33.363449357676394,15.055601590932717,7.46190855197943,8.378966034845012,15.536076345950416,4.454500060050227,6.447304073483032,2.312605355127595,2.6015370947688674,2.3638340408423013,1.607936976748794,4.328059896395948,1.6216967548353562,2.7442272288267926,3.4251284983674437,4.399412033954701,1.5864922351459816,1.6121794422323636,0.9412753463410316,1.9138993108791857,1.3611266418990045,1.5264864148491795,0.9541490044709262,0.9455869980506915,1.2671025386746224,1.0062123422101952,0.7444947557326175,1.0155851596290824,0.6714884667122873,0.657163483473842,0.5460788745826891,0.5770005932071339,0.8382038574110696,0.7507388948605374,0.7508357029258114,0.46967046617832525,1.048614806659337,0.49423328763031,0.45449131502311174
0,63.04995894909688,60.990986826931234,56.51635693246456,59.97535459638402,27.60498406561848,25.504348125043595,25.08638764498212,37.88071126243831,17.524015585241695,8.695704996697733,9.714319129680518,19.274291180759583,4.7399460185450835,6.872340068623089,2.48310557591362,3.3379897901422457,2.9260936169212233,1.74804077140208,4.831138282487233,1.859263936991962,3.311575527167196,3.8809071232979955,5.293063011524818,1.8101698964218012,1.947315549053418,1.0856786720758589,2.8072667099332653,1.563355655042273,1.772270886554703,1.0507739790995219,1.062741151822148,1.427621819396371,1.173625262139879,0.8420172595643693,1.130881612161009,0.776716120946047,0.7757684852893428,0.6154261564613581,0.6632027088652316,1.0025650446220062,0.8189970601259878,0.8199019188046589,0.5306072398910697,1.1183833018836993,0.5463008316074602,0.5054509335438997
0,71.04995894909689,68.99098682693123,63.858023599131236,67.89202126305068,29.20091548153192,28.087457808363073,28.680774684954457,44.14618745291452,19.84099303671745,10.47283383251368,10.879658964966003,21.969131981030987,4.97011381886512,7.8479409715145545,2.8279390071568384,3.509115413692424,3.400987232257587,1.8480961804768772,5.218394657125375,1.9905442362596162,3.7254135403702078,4.087772291437415,5.498616732666587,2.2993895233331725,2.346874615806295,1.2219598395542528,3.0108790555708893,1.7867837982266421,2.015910487983391,1.2240021006031803,1.2126040536455522,1.5842010102498143,1.3009520162665493,0.9171275328686066,1.240441131707123,0.877184636990217,0.8568164832860818,0.6924563842591068,0.7375793071703413,1.202065911438406,0.9349411743601231,0.9087119418036066,0.5945150932718596,1.1883017221862102,0.6995533191043823,0.5923630513535874
0,79.04995894909689,76.99098682693123,71.80802359913123,75.56285459638401,34.27616791267279,34.486970328888525,33.49055996790265,48.36225888148594,21.213261344629977,11.655163871518914,12.140469080830393,22.854320092579133,5.715133639281664,9.74789637241664,3.8285924560223963,3.7184016077151867,4.4033483333169405,2.1456232229334704,5.585796103242985,2.5993565321793284,4.005602583623708,4.364071094977479,5.78704813190494,2.728725804026214,2.915915324137066,1.3911171317903732,3.181573010376231,2.0239916309138857,2.302289678921208,1.3478837983736602,1.3252674925182621,1.7304833090822587,1.4086287170808058,1.031069927707072,1.350404182307608,0.9758273404447957,0.9321744085881927,0.7744468442510147,0.82202136092859,1.292661845047217,0.994931603750746,0.9837197266527262,0.663199239835078,1.2467523074334044,0.7694693195585341,0.6437040979446467
0,87.04995894909689,84.99098682693123,79.51516645627409,82.96057285035228,39.78296788662893,36.953818016826716,37.729824567274584,52.18972932770639,23.691125466055905,13.134004153184275,13.271990482062385,26.801739145261344,6.585624974756137,10.234696165175084,4.030297302380612,4.027070779889205,4.877037001814698,2.434000349005723,6.167218551181749,2.9841779167562112,4.627843561034765,4.714841530046974,6.064190407713634,3.1093621382599155,3.1999596369703682,1.5723580802498964,3.4124590631050378,2.301525655686553,2.5425584816491167,1.460595693453985,1.4465049722996814,1.9518087186949071,1.5561392574960673,1.1261664158161953,1.4494873566664759,1.081644974240624,1.0346955683066306,0.8444667893810798,0.9006722741305342,1.4460269410000168,1.0616763778268585,1.0503030138404448,0.7231404395767255,1.29410795562431,0.8277638494044421,0.6931336187518661
0,95.04995894909689,87.80703445464627,84.88558562044325,90.09926332654275,41.86917581278125,39.69314051023225,38.3139664606263,53.93560300869543,25.985499913669383,13.813405113005972,14.436239514816647,30.238368023314663,7.007429143819735,11.550052906106751,4.184046473655764,4.13775195887055,5.1272143548544316,2.960729086588593,7.811541921226201,3.2792614543091694,4.917565847667073,5.0555425414927955,6.450907858143268,3.3556406071866363,3.5513551637086342,1.657102940131985,3.6569293568111085,2.4570823525586416,2.669623733141901,1.5979622619055913,1.568522541600202,2.14097000457728,1.6728067810622136,1.2161785624195127,1.9170945164460669,1.1735020090422585,1.1156358166757132,0.9488111622151727,0.9651785897741647,2.0850426166789746,1.1337870469165914,1.1417464969907047,0.7842121074710575,1.397621780248819,0.9162137983539698,0.7817481767143944
0,101.28245251588334,93.46235177235201,90.61426748471833,96.30632358654418,45.407162912348234,41.338691562581424,38.96668281778335,57.12067650877595,27.20408164854225,14.804925948658163,15.100779214887257,33.598675408033834,7.479474003120248,12.140594435226099,4.559193259073863,4.623498417674313,5.363977264664224,3.219437615924541,8.089812588455192,3.3750605751683764,5.704320864630845,5.957027228578639,6.756402309255443,3.5553619370304927,3.7093400836065196,1.7478773198102622,3.8438142172388785,2.614883230488403,2.8409949952648224,1.771312900998064,1.7340537989488325,2.3187826493870323,1.9071904024822741,1.3324286782338606,2.083139137900163,1.251972916923367,1.2587857227406831,1.0173763644296465,1.0712552292979611,2.16263031810952,1.3290660660919489,1.2136695436248792,0.8695468966472609,1.6870911157540822,1.0062232559890023,0.858984276015057
